trial_id,score,mean_time,median_time,solved,timeouts,errors,mismatches,options_json
11,405.3929052609354,226.96452630467684,300.0,4,12,0,0,"{""chrono"": 0, ""compact"": 1, ""elim"": 1, ""forcephase"": 0, ""ilb"": 0, ""inprocessing"": 1, ""lucky"": 0, ""phase"": 1, ""probe"": 1, ""probeint"": 1000, ""reduce"": 0, ""reduceint"": 100, ""reducetarget"": 50, ""rephase"": 1, ""rephaseint"": 100, ""restart"": 0, ""restartint"": 2, ""restartmargin"": 20, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 200, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 1, ""transred"": 1, ""vivify"": 0, ""walk"": 0}"
12,405.2810668776001,226.40533438800048,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 0, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 100, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 4, ""restartmargin"": 30, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 200, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 1, ""transred"": 0, ""vivify"": 0, ""walk"": 0}"
13,405.3859580098986,226.92979004949302,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 1, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 500, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 4, ""restartmargin"": 30, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 120, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 0, ""transred"": 1, ""vivify"": 0, ""walk"": 0}"
14,405.38778100311026,226.93890501555143,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 0, ""forcephase"": 1, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 1, ""probe"": 1, ""probeint"": 50000, ""reduce"": 0, ""reduceint"": 300, ""reducetarget"": 75, ""rephase"": 0, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 8, ""restartmargin"": 20, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 500, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 1, ""transred"": 0, ""vivify"": 0, ""walk"": 0}"
15,405.4163173827998,227.08158691399876,300.0,4,12,0,0,"{""chrono"": 0, ""compact"": 1, ""elim"": 0, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 1, ""reduceint"": 100, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 4, ""restartmargin"": 30, ""scorefactor"": 800, ""stabilize"": 0, ""stabilizefactor"": 200, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 1, ""transred"": 0, ""vivify"": 0, ""walk"": 0}"
16,405.42637745521495,227.13188727607485,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 0, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 0, ""lucky"": 0, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 100, ""reducetarget"": 60, ""rephase"": 0, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 4, ""restartmargin"": 30, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 200, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 0, ""transred"": 0, ""vivify"": 0, ""walk"": 0}"
17,405.39672685883704,226.98363429418532,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 0, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 0, ""probe"": 1, ""probeint"": 50000, ""reduce"": 0, ""reduceint"": 100, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 1000, ""restart"": 0, ""restartint"": 64, ""restartmargin"": 5, ""scorefactor"": 995, ""stabilize"": 1, ""stabilizefactor"": 200, ""stabilizeonly"": 0, ""subsume"": 1, ""target"": 2, ""ternary"": 1, ""transred"": 0, ""vivify"": 1, ""walk"": 1}"
18,405.44318366510123,227.2159183255062,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 0, ""elim"": 0, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 0, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 0, ""reduceint"": 100, ""reducetarget"": 60, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 8, ""restartmargin"": 30, ""scorefactor"": 950, ""stabilize"": 0, ""stabilizefactor"": 200, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 2, ""ternary"": 1, ""transred"": 1, ""vivify"": 1, ""walk"": 1}"
19,405.2588434229139,226.29421711456962,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 0, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 1, ""lucky"": 1, ""phase"": 1, ""probe"": 1, ""probeint"": 5000, ""reduce"": 1, ""reduceint"": 100, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 32, ""restartmargin"": 30, ""scorefactor"": 995, ""stabilize"": 0, ""stabilizefactor"": 120, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 1, ""ternary"": 1, ""transred"": 0, ""vivify"": 0, ""walk"": 0}"
20,405.2616994468757,226.3084972343786,300.0,4,12,0,0,"{""chrono"": 1, ""compact"": 1, ""elim"": 1, ""forcephase"": 0, ""ilb"": 1, ""inprocessing"": 0, ""lucky"": 1, ""phase"": 1, ""probe"": 0, ""probeint"": 5000, ""reduce"": 1, ""reduceint"": 100, ""reducetarget"": 75, ""rephase"": 1, ""rephaseint"": 3000, ""restart"": 0, ""restartint"": 32, ""restartmargin"": 30, ""scorefactor"": 800, ""stabilize"": 0, ""stabilizefactor"": 120, ""stabilizeonly"": 1, ""subsume"": 1, ""target"": 1, ""ternary"": 1, ""transred"": 1, ""vivify"": 0, ""walk"": 1}"
