file,chuffed_time,chuffed_totalTime,chuffed_propagations,chuffed_failures,noc_bool_time,noc_bool_totalTime,noc_bool_conflicts,noc_int_time,noc_int_totalTime,noc_int_conflicts,noc_int_eagerLits,noc_int_lazyLits,noc_int_cpCalls,lazy_default_time,lazy_default_totalTime,lazy_default_conflicts,lazy_default_cpCalls,lazy_custom_time,lazy_custom_totalTime,lazy_custom_conflicts,lazy_custom_cpCalls,eager_default_time,eager_default_totalTime,eager_default_conflicts,eager_default_cpCalls,eager_custom_time,eager_custom_totalTime,eager_custom_conflicts,eager_custom_cpCalls,balanced_custom_time,balanced_custom_totalTime,balanced_custom_conflicts,balanced_custom_cpCalls,chuffed_status,eager_custom_status,eager_default_status,balanced_custom_status,lazy_custom_status,noc_int_status,noc_bool_status,lazy_default_status
ABP(BW)_Onebit_(datasize=3_capacity=1_windowsize=1)eq=branching-bisim.dzn,180,,,,88.24557304,44.881241,1,180,,,,,,180,,,,180,,,,180,,,,180,,,,180,,,,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,UNSAT,TIMEOUT
ABP(BW)_Onebit_(datasize=3_capacity=1_windowsize=1)eq=branching-sim.dzn,180,,,,87.80522919,44.42124429,1,180,,,,,,180,,,,180,,,,180,,,,180,,,,180,,,,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,UNSAT,TIMEOUT
ABP(BW)_Onebit_(datasize=3_capacity=1_windowsize=1)eq=strong-bisim.dzn,0.014104867,0.001,1,1,0.01082027,7.09E-05,1,0.011444771,7.19E-05,1,,,,0.013335013,6.14E-05,1,,0.011340773,4.21E-05,1,,0.011244619,6.80E-05,1,,0.011011386,4.50E-05,1,,0.011260223,7.25E-05,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_Onebit_(datasize=3_capacity=1_windowsize=1)eq=weak-bisim.dzn,180,,,,180,,,180,,,,,,180,,,,180,,,,180,,,,180,,,,180,,,,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ABP(BW)_Par_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,0.198633075,0.111,1184,0,0.16637615,0.100191083,1,0.131170678,0.074454458,1,9904,0,1182,0.124619591,0.075486208,1,1182,7.091118813,7.068959375,129,5670,0.138248253,0.105409709,1,1182,7.088229895,7.054862333,129,5670,7.382182121,7.358212458,129,5670,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_Par_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,0.206836951,0.162,1184,0,0.158638203,0.14735775,1,0.131487775,0.120606208,1,9904,0,1182,0.136493981,0.102290084,1,1182,7.030497074,7.006868166,129,5670,0.133354044,0.113645291,1,1182,6.924538136,6.897471334,129,5670,6.890350819,6.8694045,129,5670,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_Par_(datasize=2_capacity=1_windowsize=1)eq=strong-bisim.dzn,0.035592675,0.021,1,1,0.013751519,0.001454459,1,0.013324797,0.000817084,1,,,,0.012832785,0.000596792,1,,0.012734342,0.000803,1,,0.012946796,0.000808541,1,,0.012881243,0.000815583,1,,0.01266098,0.000809833,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_Par_(datasize=2_capacity=1_windowsize=1)eq=weak-bisim.dzn,0.155992723,0.091,815,0,0.120558369,0.06671175,1,0.092005849,0.049472625,1,8186,0,794,0.087940598,0.050356292,1,794,1.762380123,1.739433083,17,1902,0.09817524,0.07172975,1,794,1.84521389,1.823930833,17,1902,1.752992153,1.723253625,17,1902,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_Par_(datasize=4_capacity=1_windowsize=1)eq=branching-bisim.dzn,0.423702538,0.272,2452,0,0.566836572,0.373468916,1,0.434836829,0.412574209,1,20314,0,2448,0.438930047,0.303431708,1,2448,29.73250723,29.694145,281,11495,0.460449541,0.407915458,1,2448,30.48313999,30.45101817,281,11495,30.76633501,30.72195233,281,11495,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_Par_(datasize=4_capacity=1_windowsize=1)eq=branching-sim.dzn,0.433790839,0.262,2452,0,0.578904927,0.534101834,1,0.446213496,0.415797042,1,20314,0,2448,0.468897784,0.414819167,1,2448,30.86776876,30.83447183,281,11495,0.465958703,0.411437542,1,2448,31.09055781,31.06046679,281,11495,31.04580784,31.01013238,281,11495,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_Par_(datasize=4_capacity=1_windowsize=1)eq=strong-bisim.dzn,0.079612887,0.06,1,1,0.016871846,0.002650208,1,0.015340173,0.001334625,1,,,,0.01488471,0.001361125,1,,0.015210402,0.001367084,1,,0.014930689,0.00194725,1,,0.014682853,0.001939166,1,,0.01496985,0.001917208,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_Par_(datasize=4_capacity=1_windowsize=1)eq=weak-bisim.dzn,0.356893337,0.21,1723,0,0.381451225,0.311396042,1,0.302247512,0.280055375,1,16890,0,1702,0.306556618,0.184548,1,1702,7.621320009,7.580766958,57,4003,0.320586479,0.270029417,1,1702,7.691224098,7.65981375,57,4003,7.624757767,7.593547291,57,4003,SAT,SAT,SAT,SAT,SAT,SAT,SAT,SAT
ABP(BW)_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim.dzn,0.855734766,0.833,1,1,0.078584814,0.033634208,1,0.134353971,0.080540709,1,,,,0.136432683,0.084345333,1,,0.13647536,0.083109084,1,,0.135446227,0.083494084,1,,0.134258294,0.084207792,1,,0.133814859,0.082726375,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-sim.dzn,0.842565036,0.853,1,1,0.080111754,0.028465709,1,0.132644773,0.077687375,1,,,,0.13576777,0.05923,1,,0.135136235,0.080428209,1,,0.136347723,0.096144209,1,,0.135491395,0.077524583,1,,0.135383415,0.077417708,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_SWP_(datasize=2_capacity=1_windowsize=1)eq=strong-bisim.dzn,0.012800515,0,1,1,0.011059999,5.85E-05,1,0.011455083,6.57E-05,1,,,,0.010819864,4.40E-05,1,,0.011025977,6.25E-05,1,,0.01100961,5.05E-05,1,,0.010955656,3.98E-05,1,,0.01093998,6.88E-05,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_SWP_(datasize=2_capacity=1_windowsize=1)eq=weak-bisim.dzn,0.736131036,0.691,1,1,0.108371627,0.061582125,1,0.138249815,0.103424417,1,,,,0.142852938,0.088912375,1,,0.14111129,0.087478541,1,,0.137305367,0.090615042,1,,0.139504266,0.085752292,1,,0.139933968,0.084788791,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
ABP(BW)_SWP_(datasize=4_capacity=1_windowsize=1)eq=branching-bisim.dzn,2.523908138,2.463,1,1,0.189240193,0.075768958,1,0.907922685,0.78479325,1,,,,0.89477706,0.80846675,1,,0.90183543,0.783861083,1,,0.900363421,0.783432208,1,,0.902680922,0.791681334,1,,0.911439359,0.838036875,1,,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT,UNSAT
